item,a,b
cc_q10,1.3061808266298716,0.1867625046527408
cc_q11,1.7724472558915485,-0.07381369085186758
cc_q14,1.437163026237101,-0.08291788303237135
cc_q15,0.6760731829126267,0.8743988896005779
cc_q16,0.9990963583065915,0.1313003544236212
cc_q17,0.6369576641656227,1.0474575161561817
cc_q18,2.4224232543366395,-0.32262993154482217
cc_q19,1.5330131247618761,0.09851361183283948
cc_q2,0.7892223822020659,-0.10741910398950628
cc_q20,0.584369373223152,1.9102553855586506
cc_q21,1.2400805283739498,0.22475188945878574
cc_q22,1.4581008669911955,0.2556541083829428
cc_q23,1.8511527114026076,-0.27975011794493393
cc_q26,1.912421385847566,0.1328710497138237
cc_q27,0.23041806997854378,4.370457841990816
cc_q28,1.427419696600726,0.25680182758822034
cc_q29,1.7270658802621865,-0.06473426099868818
cc_q3,1.8257630056618395,-0.3440497832385031
cc_q30,1.2555820067531775,0.4522668402552622
cc_q31,2.1296205941038617,-0.3438328294970324
cc_q32,1.0716445822648362,0.1375703480732021
cc_q33,2.0573677874220326,-0.497264742957712
cc_q34,1.8056467243783672,-0.17431152823427823
cc_q4,1.4997528459190845,0.14456363456491203
cc_q5,1.9734999589129223,-0.17275600236804442
cc_q6,0.7703146292106069,0.820548151773785
cc_q7,1.5810355408994414,-0.09413637402032375
cc_q8,1.9153031571416634,-0.20548868067208664
cc_q9,2.1058387020486786,-0.17129798261438983
